Entry	Entry name	Status	Protein names	Gene names	Organism	Length	Allergenic properties	Biotechnological use	Involvement in disease	Disruption phenotype	Mutagenesis	Cross-reference (IntAct)	Cross-reference (STRING)	Cross-reference (PDB)
Q08602	PGTA_RAT	reviewed	Geranylgeranyl transferase type-2 subunit alpha (EC 2.5.1.60) (Geranylgeranyl transferase type II subunit alpha) (Rab geranyl-geranyltransferase subunit alpha) (Rab GG transferase alpha) (Rab GGTase alpha) (Rab geranylgeranyltransferase subunit alpha)	Rabggta Ggta	Rattus norvegicus (Rat)	567						Q08602;	10116.ENSRNOP00000049261;	1DCE;1LTX;3C72;3DSS;3DST;3DSU;3DSV;3DSW;3DSX;3HXB;3HXC;3HXD;3HXE;3HXF;3PZ1;3PZ2;3PZ3;4EHM;4GTS;4GTT;4GTV;
P0DQD2	INLB_LISMO	reviewed	Internalin B (InlB) (Invasion protein InlB)	inlB lmo0434	Listeria monocytogenes serovar 1/2a (strain ATCC BAA-679 / EGD-e)	630				DISRUPTION PHENOTYPE: Deletion of inlB alone decreases host cell entry; the reduction varies from 99% to 37% depending on the cell line tested. {ECO:0000269|PubMed:11929538}.	"MUTAGEN 95;  /note=""Q->EYLPNLDQLILNNNSIASIVG: Adds LRRb repeat, N-terminal fragment (36-321) binds MET, wild-type phosphorylation of downstream effectors MAPK1/MAPK3, full-length protein induces wild-type cell scattering."";  /evidence=""ECO:0000269|PubMed:22887347""; MUTAGEN 95;  /note=""Q->YLPNLTSLNLSNNQITDISPI: Adds LRRa repeat, N-terminal fragment (36-321) binds MET, slightly reduced phosphorylation of downstream effectors MAPK1/MAPK3."";  /evidence=""ECO:0000269|PubMed:22887347""; MUTAGEN 199..227;  /note=""SDIVPLAGLTKLQNLYLSKNHISDLRALA->RRIVPLARLTKLQNLYLSKNHISDLRALR: A 4 Arg mutant, in vitro wild-type binding of host MET, severely reduced activation of MET and downstream targets."";  /evidence=""ECO:0000269|PubMed:19900460""; MUTAGEN 200..227;  /note=""DIVPLAGLTKLQNLYLSKNHISDLRALA->RIVPLARLTKLQNLYLSKNHISDLRALR: A 3 Arg mutant, in vitro about 100-fold reduced activation of host MET and downstream targets, reduced host cell scattering upon incubation with mutant protein."";  /evidence=""ECO:0000269|PubMed:19900460""; MUTAGEN 206..227;  /note=""GLTKLQNLYLSKNHISDLRALA->CLTKLQNLYLSKNHISDLRALC: A 2 Cys mutant, forms 2 intermolecular disulfide bonds, about 100-fold more potent activator of MET, increased downstream effector phosphorylation."";  /evidence=""ECO:0000269|PubMed:19900460""; MUTAGEN 332;  /note=""T->E: The B-repeat fragment (residues 31-392) no longer scatters host cell colonies, full-length protein reduces MET phosphorylation and downstream activity about 10-fold."";  /evidence=""ECO:0000269|PubMed:27789707""; MUTAGEN 334..336;  /note=""IKT->KKL: The B-repeat fragment (residues 31-392) no longer scatters host cell colonies."";  /evidence=""ECO:0000269|PubMed:27789707""; MUTAGEN 336;  /note=""T->Y: No effect on cell scattering by the B-repeat fragment (residues 31-392)."";  /evidence=""ECO:0000269|PubMed:27789707"""	P0DQD2;		1H6T;2UZX;2UZY;2WQU;2WQV;2WQW;2WQX;2Y5P;2Y5Q;4AW4;4CIL;6DBF;6DBG;
Q7SIG6	ASAP2_MOUSE	reviewed	Arf-GAP with SH3 domain, ANK repeat and PH domain-containing protein 2 (Development and differentiation-enhancing factor 2) (Paxillin-associated protein with ARF GAP activity 3) (PAG3) (Pyk2 C-terminus-associated protein) (PAP)	Asap2 Ddef2 Gm1523 Gm592	Mus musculus (Mouse)	958					"MUTAGEN 449;  /note=""W->A: Strongly reduces Arf-GAP mediated stimulation of GTP hydrolysis."";  /evidence=""ECO:0000269|PubMed:10601011""; MUTAGEN 460;  /note=""I->A: Reduces Arf-GAP mediated stimulation of GTP hydrolysis 100-fold and abolishes Arf-GAP mediated stimulation of GTP hydrolysis; when associated with A-306."";  /evidence=""ECO:0000269|PubMed:10601011""; MUTAGEN 467;  /note=""R->A: Abolishes Arf-GAP mediated stimulation of GTP hydrolysis."";  /evidence=""ECO:0000269|PubMed:10601011""; MUTAGEN 467;  /note=""R->K: Reduces Arf-GAP mediated stimulation of GTP hydrolysis more than 10000-fold."";  /evidence=""ECO:0000269|PubMed:10601011""; MUTAGEN 481;  /note=""L->A: Reduces Arf-GAP mediated stimulation of GTP hydrolysis 100-fold and abolishes Arf-GAP mediated stimulation of GTP hydrolysis; when associated with A-285."";  /evidence=""ECO:0000269|PubMed:10601011""; MUTAGEN 482;  /note=""D->A: Reduces Arf-GAP mediated stimulation of GTP hydrolysis 1000-fold."";  /evidence=""ECO:0000269|PubMed:10601011"""	Q7SIG6;	10090.ENSMUSP00000063217;	1DCQ;
P11589	MUP2_MOUSE	reviewed	Major urinary protein 2 (MUP 2)	Mup2	Mus musculus (Mouse)	180							10090.ENSMUSP00000095655;	1DF3;1JV4;1ZND;1ZNE;1ZNG;1ZNH;1ZNK;1ZNL;2DM5;2NND;2NNE;2OZQ;
Q8WZ42	TITIN_HUMAN	reviewed	Titin (EC 2.7.11.1) (Connectin) (Rhabdomyosarcoma antigen MU-RMS-40.14)	TTN	Homo sapiens (Human)	34350			DISEASE: Myopathy, myofibrillar, 9, with early respiratory failure (MFM9) [MIM:603689]: An autosomal dominant myopathy characterized by adulthood onset of weakness in proximal, distal, axial and respiratory muscles. Pelvic girdle weakness, foot drop and neck weakness are the main symptoms at onset, but ultimately the weakness usually involves the proximal compartment of both upper and lower limbs. Additional features include variable degrees of Achilles tendon contractures, spinal rigidity and muscle hypertrophy. Respiratory involvement often leads to requirement for non-invasive ventilation support. {ECO:0000269|PubMed:15802564}. Note=The disease is caused by variants affecting the gene represented in this entry.; DISEASE: Cardiomyopathy, familial hypertrophic 9 (CMH9) [MIM:613765]: A hereditary heart disorder characterized by ventricular hypertrophy, which is usually asymmetric and often involves the interventricular septum. The symptoms include dyspnea, syncope, collapse, palpitations, and chest pain. They can be readily provoked by exercise. The disorder has inter- and intrafamilial variability ranging from benign to malignant forms with high risk of cardiac failure and sudden cardiac death. {ECO:0000269|PubMed:10462489}. Note=The disease is caused by variants affecting the gene represented in this entry.; DISEASE: Cardiomyopathy, dilated 1G (CMD1G) [MIM:604145]: A disorder characterized by ventricular dilation and impaired systolic function, resulting in congestive heart failure and arrhythmia. Patients are at risk of premature death. {ECO:0000269|PubMed:11788824, ECO:0000269|PubMed:11846417, ECO:0000269|PubMed:16465475}. Note=The disease is caused by variants affecting the gene represented in this entry.; DISEASE: Tardive tibial muscular dystrophy (TMD) [MIM:600334]: Autosomal dominant, late-onset distal myopathy. Muscle weakness and atrophy are usually confined to the anterior compartment of the lower leg, in particular the tibialis anterior muscle. Clinical symptoms usually occur at age 35-45 years or much later. {ECO:0000269|PubMed:12145747, ECO:0000269|PubMed:12891679}. Note=The disease is caused by variants affecting the gene represented in this entry.; DISEASE: Muscular dystrophy, limb-girdle, autosomal recessive 10 (LGMDR10) [MIM:608807]: An autosomal recessive degenerative myopathy characterized by progressive weakness of the pelvic and shoulder girdle muscles. Severe disability is observed within 20 years of onset. {ECO:0000269|PubMed:12145747}. Note=The disease is caused by variants affecting the gene represented in this entry.; DISEASE: Salih myopathy (SALMY) [MIM:611705]: An autosomal recessive, early-onset muscular disorder characterized by dilated cardiomyopathy, delayed motor development with generalized muscle weakness predominantly affecting proximal and distal lower limbs. Skeletal muscle biopsies show minicore-like lesions with mitochondrial depletion and sarcomere disorganization, centralized nuclei, and type 1 fiber predominance. Dystrophic changes become apparent in the second decade. Cardiac muscle biopsies show disruption of myocardial architecture, nuclear hypertrophy, and endomysial fibrosis. Sudden death may occurr due to cardiomyopathy. {ECO:0000269|PubMed:17444505}. Note=The disease is caused by variants affecting the gene represented in this entry.		"MUTAGEN 32207;  /note=""K->A: Disrupts catalytic activity."";  /evidence=""ECO:0000269|PubMed:9804419""; MUTAGEN 32341;  /note=""Y->E: No phosphorylation on tyrosine."";  /evidence=""ECO:0000269|PubMed:9804419"""	Q8WZ42;	9606.ENSP00000467141;	1BPV;1G1C;1NCT;1NCU;1TIT;1TIU;1TKI;1TNM;1TNN;1WAA;1YA5;2A38;2BK8;2F8V;2ILL;2J8H;2J8O;2NZI;2RQ8;2WP3;2WWK;2WWM;2Y9R;3B43;3KNB;3LCY;3LPW;3PUC;3Q5O;3QP3;4C4K;4JNW;4O00;4QEG;4UOW;5BS0;5JDD;5JDE;5JDJ;5JOE;6DL4;6H4L;6HCI;6I0Y;6SDB;6YGN;7AHS;7NIP;
P10775	RINI_PIG	reviewed	Ribonuclease inhibitor (Ribonuclease/angiogenin inhibitor 1)	RNH1 RI RNH	Sus scrofa (Pig)	456						P10775;		1DFJ;2BNH;
P0A6L2	DAPA_ECOLI	reviewed	4-hydroxy-tetrahydrodipicolinate synthase (HTPA synthase) (EC 4.3.3.7)	dapA b2478 JW2463	Escherichia coli (strain K12)	292					"MUTAGEN 44;  /note=""T->S: 8% of wild-type activity. 4-fold decrease in affinity for pyruvate, but nearly no change in that for (S)-ASA."";  /evidence=""ECO:0000269|PubMed:15066435, ECO:0000269|PubMed:19505526""; MUTAGEN 44;  /note=""T->V: Reduced kcat by 99.9%."";  /evidence=""ECO:0000269|PubMed:15066435, ECO:0000269|PubMed:19505526""; MUTAGEN 107;  /note=""Y->F: Reduced kcat by 90%."";  /evidence=""ECO:0000269|PubMed:15066435, ECO:0000269|PubMed:18937497""; MUTAGEN 107;  /note=""Y->W: Reduced activity by 95%. Reduced affinity for both substrates. Exists as a mixture of monomer, dimer and tetramer in solution. Has significantly lower thermal stability than the wild-type enzyme."";  /evidence=""ECO:0000269|PubMed:15066435, ECO:0000269|PubMed:18937497""; MUTAGEN 133;  /note=""Y->F: Reduced kcat by 99.7%. Reduced affinity for both substrates."";  /evidence=""ECO:0000269|PubMed:15066435""; MUTAGEN 138;  /note=""R->A,H: Strongly increased KM for L-aspartate 4-semialdehyde. No effect on KM for pyruvate. Reduced activity by 99.7%."";  /evidence=""ECO:0000269|PubMed:16185069""; MUTAGEN 161;  /note=""K->A: 0.1% of wild-type activity. 3-fold decrease in affinity for pyruvate, and 2-fold decrease in that for (S)-ASA."";  /evidence=""ECO:0000269|PubMed:20353808""; MUTAGEN 161;  /note=""K->R: 0.35% of wild-type activity. 3-fold decrease in affinity for pyruvate, but nearly no change in that for (S)-ASA."";  /evidence=""ECO:0000269|PubMed:20353808""; MUTAGEN 197;  /note=""L->Y,D: 1.4 to 2.5% of wild-type activity. Decrease in affinity for pyruvate, but nearly no change in that for (S)-ASA. Exists as a dimer in solution."";  /evidence=""ECO:0000269|PubMed:18556019"""	P0A6L2;	511145.b2478;	1DHP;1S5T;1S5V;1S5W;1YXC;1YXD;2A6L;2A6N;2ATS;2OJP;2PUR;3C0J;3DEN;3DU0;3I7Q;3I7R;3I7S;4EOU;5T25;5T26;
Q56320	TRPF_THEMA	reviewed	N-(5'-phosphoribosyl)anthranilate isomerase (PRAI) (EC 5.3.1.24)	trpF TM_0139	Thermotoga maritima (strain ATCC 43589 / DSM 3109 / JCM 10099 / NBRC 100826 / MSB8)	205							243274.THEMA_04110;	1DL3;1LBM;1NSJ;
P80188	NGAL_HUMAN	reviewed	Neutrophil gelatinase-associated lipocalin (NGAL) (25 kDa alpha-2-microglobulin-related subunit of MMP-9) (Lipocalin-2) (Oncogene 24p3) (Siderocalin) (p25)	LCN2 HNL NGAL	Homo sapiens (Human)	198					"MUTAGEN 145;  /note=""K->A: Strongly reduced affinity for catecholate-type ferric siderophores; when associated with A-154."";  /evidence=""ECO:0000269|PubMed:20581821""; MUTAGEN 154;  /note=""K->A: Strongly reduced affinity for catecholate-type ferric siderophores; when associated with A-145."";  /evidence=""ECO:0000269|PubMed:20581821"""	P80188;	9606.ENSP00000362108;	1DFV;1L6M;1NGL;1QQS;1X71;1X89;1X8U;3BY0;3CBC;3CMP;3DSZ;3DTQ;3FW4;3FW5;3HWD;3HWE;3HWF;3HWG;3I0A;3K3L;3PEC;3PED;3T1D;3TF6;3TZS;3U0D;4GH7;4IAW;4IAX;4K19;4MVI;4MVK;4MVL;4QAE;4ZFX;4ZHC;4ZHD;4ZHF;4ZHG;4ZHH;5JR8;5KHP;5KIC;5KID;5MHH;5N47;5N48;5NKN;6GQZ;6GR0;6O5D;6QMU;6S8V;6SUA;6Z2C;6Z6Z;
P33038	MURA_ENTCC	reviewed	UDP-N-acetylglucosamine 1-carboxyvinyltransferase (EC 2.5.1.7) (Enoylpyruvate transferase) (UDP-N-acetylglucosamine enolpyruvyl transferase) (EPT)	murA murZ ECL_04571	Enterobacter cloacae subsp. cloacae (strain ATCC 13047 / DSM 30054 / NBRC 13535 / NCTC 10005 / WDCM 00083 / NCDC 279-56)	419					"MUTAGEN 115;  /note=""C->D: Significantly lower binding of phosphoenolpyruvate."";  /evidence=""ECO:0000269|PubMed:22378791""; MUTAGEN 115;  /note=""C->S: Loss of activity, but not of substrate binding.""; MUTAGEN 120;  /note=""R->A: Loss of activity."";  /evidence=""ECO:0000269|PubMed:22378791"""		716541.ECL_04571;	1DLG;1EJC;1EJD;1EYN;1NAW;1Q3G;1RYW;1YBG;3KQA;3LTH;3SPB;3SU9;3SWA;3SWI;3SWQ;3UPK;3V4T;3V5V;4E7B;4E7C;4E7D;4E7E;4E7F;4E7G;4EII;
P00751	CFAB_HUMAN	reviewed	Complement factor B (EC 3.4.21.47) (C3/C5 convertase) (Glycine-rich beta glycoprotein) (GBG) (PBF2) (Properdin factor B) [Cleaved into: Complement factor B Ba fragment; Complement factor B Bb fragment]	CFB BF BFD	Homo sapiens (Human)	764			DISEASE: Macular degeneration, age-related, 14 (ARMD14) [MIM:615489]: A form of age-related macular degeneration, a multifactorial eye disease and the most common cause of irreversible vision loss in the developed world. In most patients, the disease is manifest as ophthalmoscopically visible yellowish accumulations of protein and lipid that lie beneath the retinal pigment epithelium and within an elastin-containing structure known as Bruch membrane. {ECO:0000269|PubMed:16518403}. Note=Disease susceptibility may be associated with variants affecting the gene represented in this entry. Haplotype analyses have identified a statistically significant common risk haplotype and two protective haplotypes. CFB variant His-9 and C2 variant Asp-318, as well as CFB variant Gln-32 and a variant in intron 10 of C2, confer a significantly reduced risk of AMD. {ECO:0000269|PubMed:16518403}.; DISEASE: Hemolytic uremic syndrome atypical 4 (AHUS4) [MIM:612924]: An atypical form of hemolytic uremic syndrome. It is a complex genetic disease characterized by microangiopathic hemolytic anemia, thrombocytopenia, renal failure and absence of episodes of enterocolitis and diarrhea. In contrast to typical hemolytic uremic syndrome, atypical forms have a poorer prognosis, with higher death rates and frequent progression to end-stage renal disease. {ECO:0000269|PubMed:17182750, ECO:0000269|PubMed:20513133}. Note=Disease susceptibility is associated with variants affecting the gene represented in this entry. Susceptibility to the development of atypical hemolytic uremic syndrome can be conferred by mutations in various components of or regulatory factors in the complement cascade system. Other genes may play a role in modifying the phenotype.; DISEASE: Complement factor B deficiency (CFBD) [MIM:615561]: An immunologic disorder characterized by increased susceptibility to bacterial infections, particularly Neisseria infections, due to a defect in the alternative complement pathway. {ECO:0000269|PubMed:24152280}. Note=The disease is caused by variants affecting the gene represented in this entry.		"MUTAGEN 348..350;  /note=""KLK->AAA: Decreases binding to the pro-C3-convertase complex. Does not affect Complement C3 beta chain binding."";  /evidence=""ECO:0000269|PubMed:31507604"""	P00751;	9606.ENSP00000416561;	1DLE;1Q0P;1RRK;1RS0;1RTK;2OK5;2WIN;2XWB;2XWJ;3HRZ;3HS0;6QSW;6QSX;6RAV;6RUR;6RUV;6T8U;6T8V;6T8W;7JTN;7JTQ;
Q02248	CTNB1_MOUSE	reviewed	Catenin beta-1 (Beta-catenin)	Ctnnb1 Catnb	Mus musculus (Mouse)	781				DISRUPTION PHENOTYPE: Sympathetic ganglia-specific conditional knockout mice lead to a reduction in sympathetic ganglia size and in progenitor cell number, but does not alter sympathetic innervation of peripheral target organs. {ECO:0000269|PubMed:21325504}.	"MUTAGEN 8;  /note=""M->P: Loss of interaction with VCL."";  /evidence=""ECO:0000269|PubMed:20086044""; MUTAGEN 33;  /note=""S->A: Abolished HIPK2-mediated proteasomal degradation."";  /evidence=""ECO:0000269|PubMed:20307497""; MUTAGEN 37;  /note=""S->A: Abolished HIPK2-mediated proteasomal degradation."";  /evidence=""ECO:0000269|PubMed:20307497""; MUTAGEN 552;  /note=""S->A: Abolishes AMPK-mediated phosphorylation."";  /evidence=""ECO:0000269|PubMed:20361929"""	Q02248;	10090.ENSMUSP00000007130;	1DOW;1I7W;1I7X;1JPP;1M1E;1V18;2BCT;3BCT;3OUW;3OUX;4EV8;4EV9;4EVA;4EVP;4EVT;4ONS;
Q9XHH2	DNAL1_CHLRE	reviewed	Dynein axonemal light chain 1 (DNAL1) (Flagellar outer arm dynein light chain 1) (ODA-LC protein LC1)	LC1 CHLREDRAFT_186669	Chlamydomonas reinhardtii (Chlamydomonas smithii)	198					"MUTAGEN 182;  /note=""M->A: Reduces swimming velocity."";  /evidence=""ECO:0000269|PubMed:19620633""; MUTAGEN 182;  /note=""M->G: Reduces swimming velocity."";  /evidence=""ECO:0000269|PubMed:19620633""; MUTAGEN 182;  /note=""M->P: Reduces swimming velocity."";  /evidence=""ECO:0000269|PubMed:19620633""; MUTAGEN 185;  /note=""D->G: Reduces swimming velocity."";  /evidence=""ECO:0000269|PubMed:19620633""; MUTAGEN 185;  /note=""D->P: Reduces swimming velocity and beat frequency."";  /evidence=""ECO:0000269|PubMed:19620633""; MUTAGEN 189;  /note=""R->A: Reduces swimming velocity."";  /evidence=""ECO:0000269|PubMed:19620633""; MUTAGEN 189;  /note=""R->E: Reduces swimming velocity."";  /evidence=""ECO:0000269|PubMed:19620633""; MUTAGEN 196;  /note=""R->A: Reduces swimming velocity."";  /evidence=""ECO:0000269|PubMed:19620633""; MUTAGEN 196;  /note=""R->D: Reduces swimming velocity."";  /evidence=""ECO:0000269|PubMed:19620633"""		3055.EDP06769;	1DS9;1M9L;5YXM;6L4P;
P22629	SAV_STRAV	reviewed	Streptavidin		Streptomyces avidinii	183								1DF8;1HQQ;1HXL;1HXZ;1HY2;1I9H;1KFF;1KL3;1KL4;1KL5;1LCV;1LCW;1LCZ;1LUQ;1MEP;1MK5;1MM9;1MOY;1N43;1N4J;1N7Y;1N9M;1N9Y;1NBX;1NC9;1NDJ;1NQM;1PTS;1RST;1RSU;1RXH;1RXJ;1RXK;1SLD;1SLE;1SLF;1SLG;1SRE;1SRF;1SRG;1SRH;1SRI;1SRJ;1STP;1STR;1STS;1SWA;1SWB;1SWC;1SWD;1SWE;1SWF;1SWG;1SWH;1SWJ;1SWK;1SWL;1SWN;1SWO;1SWP;1SWQ;1SWR;1SWS;1SWT;1SWU;1VWA;1VWB;1VWC;1VWD;1VWE;1VWF;1VWG;1VWH;1VWI;1VWJ;1VWK;1VWL;1VWM;1VWN;1VWO;1VWP;1VWQ;1VWR;2BC3;2F01;2G5L;2GH7;2IZA;2IZB;2IZC;2IZD;2IZE;2IZF;2IZG;2IZH;2IZI;2IZJ;2IZK;2IZL;2QCB;2RTA;2RTB;2RTC;2RTD;2RTE;2RTF;2RTG;2RTH;2RTI;2RTJ;2RTK;2RTL;2RTM;2RTN;2RTO;2RTP;2RTQ;2RTR;2WPU;2Y3E;2Y3F;3MG5;3PK2;3RDM;3RDO;3RDQ;3RDS;3RDU;3RDX;3RE5;3RE6;3RY1;3RY2;3T6F;3T6L;3WYP;3WYQ;3WZN;3WZO;3WZP;3WZQ;3X00;4BX5;4BX6;4BX7;4CPE;4CPF;4CPH;4CPI;4DNE;4EKV;4GD9;4GDA;4GJS;4GJV;4IRW;4JO6;4OKA;4Y59;4Y5D;4YVB;5B5F;5B5G;5CSE;5F2B;5JD2;5K67;5K68;5L3Y;5N7X;5N89;5N8B;5N8E;5N8J;5N8T;5N8W;5N99;5TO2;5VCQ;5VKX;5VL5;5VL8;5WBA;5WBB;5WBC;5WBD;6ANX;6AUC;6AUE;6AUH;6AUL;6AUO;6AVK;6ESS;6ESU;6FH8;6FRY;6GH7;6J6J;6J6K;6LNG;6M9B;6QBB;6QSY;6QW4;6S4Q;6S50;6SOK;6SOS;6T1E;6T1G;6T1K;6T2L;6T2Y;6T2Z;6T30;6T31;6T32;6TIP;6UC3;6UD1;6UD6;6UDB;6UDC;6UI0;6UIU;6UIY;6UIZ;6US6;6VJK;6VJL;6VO9;6VOB;6VOZ;6VP1;6VP2;6VP3;6Y25;6Y2M;6Y2T;6Y33;6Y34;6Y3Q;7DY0;7EFC;7EFD;7KBY;7KBZ;7KNL;
P11444	MANR_PSEPU	reviewed	Mandelate racemase (MR) (EC 5.1.2.2)	mdlA	Pseudomonas putida (Arthrobacter siderocapsulatus)	359					"MUTAGEN 166;  /note=""K->A,M,Q: Loss of activity."";  /evidence=""ECO:0000269|PubMed:7893690""; MUTAGEN 297;  /note=""H->N: Loss of activity."";  /evidence=""ECO:0000269|PubMed:1909893""; MUTAGEN 317;  /note=""E->Q: Reduces activity 10000-fold."";  /evidence=""ECO:0000269|PubMed:7893689"""			1DTN;1MDL;1MDR;1MNS;1MRA;2MNR;3UXK;3UXL;4FP1;4HNC;4M6U;4X2P;6VIM;
P25054	APC_HUMAN	reviewed	Adenomatous polyposis coli protein (Protein APC) (Deleted in polyposis 2.5)	APC DP2.5	Homo sapiens (Human)	2843			DISEASE: Familial adenomatous polyposis 1 (FAP1) [MIM:175100]: A cancer predisposition syndrome characterized by adenomatous polyps of the colon and rectum, but also of upper gastrointestinal tract (ampullary, duodenal and gastric adenomas). This is a viciously premalignant disease with one or more polyps progressing through dysplasia to malignancy in untreated gene carriers with a median age at diagnosis of 40 years. {ECO:0000269|PubMed:10470088, ECO:0000269|PubMed:1316610, ECO:0000269|PubMed:1338691, ECO:0000269|PubMed:1338764, ECO:0000269|PubMed:1338904, ECO:0000269|PubMed:1651563, ECO:0000269|PubMed:21643010, ECO:0000269|PubMed:27217144, ECO:0000269|PubMed:7661930, ECO:0000269|PubMed:7833149, ECO:0000269|PubMed:7833931, ECO:0000269|PubMed:8990002}. Note=The disease is caused by variants affecting the gene represented in this entry.; DISEASE: Desmoid disease, hereditary (DESMD) [MIM:135290]: An autosomal dominant disease characterized by multifocal fibromatosis of the abdominal wall and mesentery. Desmoid tumors can also affect paraspinal muscles, breast, occiput, arms, and lower ribs. {ECO:0000269|PubMed:10782927, ECO:0000269|PubMed:8940264}. Note=The disease is caused by variants affecting the gene represented in this entry.; DISEASE: Medulloblastoma (MDB) [MIM:155255]: Malignant, invasive embryonal tumor of the cerebellum with a preferential manifestation in children. {ECO:0000269|PubMed:10666372}. Note=The gene represented in this entry may be involved in disease pathogenesis.; DISEASE: Gastric cancer (GASC) [MIM:613659]: A malignant disease which starts in the stomach, can spread to the esophagus or the small intestine, and can extend through the stomach wall to nearby lymph nodes and organs. It also can metastasize to other parts of the body. The term gastric cancer or gastric carcinoma refers to adenocarcinoma of the stomach that accounts for most of all gastric malignant tumors. Two main histologic types are recognized, diffuse type and intestinal type carcinomas. Diffuse tumors are poorly differentiated infiltrating lesions, resulting in thickening of the stomach. In contrast, intestinal tumors are usually exophytic, often ulcerating, and associated with intestinal metaplasia of the stomach, most often observed in sporadic disease. Note=The gene represented in this entry may be involved in disease pathogenesis.; DISEASE: Hepatocellular carcinoma (HCC) [MIM:114550]: A primary malignant neoplasm of epithelial liver cells. The major risk factors for HCC are chronic hepatitis B virus (HBV) infection, chronic hepatitis C virus (HCV) infection, prolonged dietary aflatoxin exposure, alcoholic cirrhosis, and cirrhosis due to other causes. Note=The gene represented in this entry may be involved in disease pathogenesis.		"MUTAGEN 516;  /note=""K->E: Impairs interaction with KHDRBS1."";  /evidence=""ECO:0000269|PubMed:22000517""; MUTAGEN 549;  /note=""R->E: Impairs interaction with KHDRBS1."";  /evidence=""ECO:0000269|PubMed:22000517""; MUTAGEN 2841;  /note=""T->L: Loss of interaction with SCRIB."";  /evidence=""ECO:0000269|PubMed:16611247""; MUTAGEN 2843;  /note=""V->Q: Loss of interaction with SCRIB."";  /evidence=""ECO:0000269|PubMed:16611247"""	P25054;	9606.ENSP00000257430;	1DEB;1EMU;1JPP;1M5I;1T08;1TH1;1V18;2RQU;3AU3;3NMW;3NMX;3NMZ;3QHE;3RL7;3RL8;3T7U;4G69;4YJE;4YJL;4YK6;5B6G;5IZ6;5IZ8;5IZ9;5IZA;5Z8H;
P08514	ITA2B_HUMAN	reviewed	Integrin alpha-IIb (GPalpha IIb) (GPIIb) (Platelet membrane glycoprotein IIb) (CD antigen CD41) [Cleaved into: Integrin alpha-IIb heavy chain; Integrin alpha-IIb light chain, form 1; Integrin alpha-IIb light chain, form 2]	ITGA2B GP2B ITGAB	Homo sapiens (Human)	1039			DISEASE: Glanzmann thrombasthenia (GT) [MIM:273800]: A common inherited disease of platelet aggregation. It is characterized by mucocutaneous bleeding of mild-to-moderate severity. GT has been classified clinically into types I and II. In type I, platelets show absence of the glycoprotein IIb-IIIa complexes at their surface and lack fibrinogen and clot retraction capability. In type II, the platelets express the GPIIb-IIIa complex at reduced levels, have detectable amounts of fibrinogen, and have low or moderate clot retraction capability. {ECO:0000269|PubMed:10607701, ECO:0000269|PubMed:11798398, ECO:0000269|PubMed:12083483, ECO:0000269|PubMed:12181054, ECO:0000269|PubMed:12424194, ECO:0000269|PubMed:12506038, ECO:0000269|PubMed:15099289, ECO:0000269|PubMed:15219201, ECO:0000269|PubMed:17018384, ECO:0000269|PubMed:20020534, ECO:0000269|PubMed:7508443, ECO:0000269|PubMed:7706461, ECO:0000269|PubMed:8282784, ECO:0000269|PubMed:8704171, ECO:0000269|PubMed:9215749, ECO:0000269|PubMed:9473221, ECO:0000269|PubMed:9722314, ECO:0000269|PubMed:9734640, ECO:0000269|PubMed:9763559, ECO:0000269|PubMed:9920835}. Note=The disease is caused by variants affecting the gene represented in this entry.; DISEASE: Bleeding disorder, platelet-type, 16 (BDPLT16) [MIM:187800]: An autosomal dominant form of congenital macrothrombocytopenia associated with platelet anisocytosis. It is a disorder of platelet production. Affected individuals may have no or only mildly increased bleeding tendency. In vitro studies show mild platelet functional abnormalities. {ECO:0000269|PubMed:21454453, ECO:0000269|PubMed:9834222}. Note=The disease is caused by variants affecting the gene represented in this entry.		"MUTAGEN 1029..1030;  /note=""PP->AA: Imparts constitutive activity (ligand-binding) to alpha-IIb/beta-3."";  /evidence=""ECO:0000269|PubMed:10212286"""	P08514;	9606.ENSP00000262407;	1DPK;1DPQ;1JX5;1KUP;1KUZ;1M8O;1RN0;1S4W;1TYE;1UV9;2K1A;2K9J;2KNC;2MTP;2N9Y;2VC2;2VDK;2VDL;2VDM;2VDN;2VDO;2VDP;2VDQ;2VDR;3FCS;3FCU;3NID;3NIF;3NIG;3T3M;3T3P;3ZDX;3ZDY;3ZDZ;3ZE0;3ZE1;3ZE2;4CAK;4Z7N;4Z7O;4Z7Q;5HDB;6V4P;
P26514	XYNA_STRLI	reviewed	Endo-1,4-beta-xylanase A (Xylanase A) (EC 3.2.1.8) (1,4-beta-D-xylan xylanohydrolase A)	xlnA	Streptomyces lividans	477								1E0V;1E0W;1E0X;1KNL;1KNM;1MC9;1OD8;1V0K;1V0L;1V0M;1V0N;1XAS;
P09465	APHR_CRICR	reviewed	Aphrodisin		Cricetus cricetus (Black-bellied hamster)	167								1E5P;
