Reviewed	Classification	Entry	Title	PDB chain IDs
FALSE	4.4	P07834	Cell division control protein 4 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CDC4 PE=1 SV=2	1nexB,1nexD,2p63A,2p63B,2p63C,2p63D,3mksB,3mksD,3v7dB,3v7dD
FALSE	3.1	P26213	Endopolygalacturonase I OS=Aspergillus niger OX=5061 GN=pgaI PE=1 SV=1	1nhcA,1nhcB,1nhcC,1nhcD,1nhcE,1nhcF
FALSE	4.2	P06129	Vitamin B12 transporter BtuB OS=Escherichia coli (strain K12) OX=83333 GN=btuB PE=1 SV=2	1nqeA,1nqfA,1nqgA,1nqhA,1ujwA,2gskA,2gufA,2ysuA,3m8bA,3m8dA,3rgmA,3rgnA
FALSE	4.1	P51016	4-hydroxy-2-oxovalerate aldolase OS=Pseudomonas sp. (strain CF600) OX=79676 GN=dmpG PE=1 SV=1	1nvmA,1nvmC,1nvmE,1nvmG
FALSE	4.4,4.4	Q11176	Actin-interacting protein 1 OS=Caenorhabditis elegans OX=6239 GN=unc-78 PE=1 SV=1	1nr0A,1pevA
FALSE	3.3	Q9Y3D6	Mitochondrial fission 1 protein OS=Homo sapiens OX=9606 GN=FIS1 PE=1 SV=2	1nznA,1pc2A
FALSE	5.2	Q63135	Complement component receptor 1-like protein OS=Rattus norvegicus OX=10116 GN=Cr1l PE=1 SV=1	1ntjA,2xrbA,2xrdA
FALSE	3.3	Q02790	Peptidyl-prolyl cis-trans isomerase FKBP4 OS=Homo sapiens OX=9606 GN=FKBP4 PE=1 SV=3	1n1aA,1n1aB,1p5qA,1p5qB,1p5qC,1q1cA,1qz2A,1qz2B,1qz2C,4drjA,4lavA,4lavB,4lawA,4lawB,4laxA,4layA,4tw8A,4tw8B,6rcyA
FALSE	4.1	Q9X1K9	4-hydroxy-tetrahydrodipicolinate synthase OS=Thermotoga maritima (strain ATCC 43589 / MSB8 / DSM 3109 / JCM 10099) OX=243274 GN=dapA PE=1 SV=1	1o5kA,1o5kB,3pb0A,3pb0B,3pb0C,3pb0D,3pb2A,3pb2B,3pb2C,3pb2D,3pb2E,3pb2F
FALSE	3.1	P77791	Maltose O-acetyltransferase OS=Escherichia coli (strain K12) OX=83333 GN=maa PE=1 SV=3	1ocxA,1ocxB,1ocxC,6ag8A,6ag8C
FALSE	3.2	P0DJM0	Internalin A OS=Listeria monocytogenes serovar 1/2a (strain ATCC BAA-679 / EGD-e) OX=169963 GN=inlA PE=1 SV=1	1o6sA,1o6tA,1o6vA,1o6vB,2omuA,2omvA,2omwA,2omyA,2omzA
FALSE	4.1	Q08638	Beta-glucosidase A OS=Thermotoga maritima (strain ATCC 43589 / MSB8 / DSM 3109 / JCM 10099) OX=243274 GN=bglA PE=1 SV=1	1od0A,1od0B,1oifA,1oifB,1oimA,1oimB,1oinA,1oinB,1uz1A,1uz1B,1w3jA,1w3jB,2cbuA,2cbuB,2cbvA,2cbvB,2cesA,2cesB,2cetA,2cetB,2j75A,2j75B,2j77A,2j77B,2j78A,2j78B,2j79A,2j79B,2j7bA,2j7bB,2j7cA,2j7cB,2j7dA,2j7dB,2j7eA,2j7eB,2j7fA,2j7fB,2j7gA,2j7gB,2j7hA,2j7hB,2jalA,2jalB,2vrjA,2vrjB,2wbgA,2wbgB,2wbgC,2wbgD,2wc3A,2wc3B,2wc3C,2wc3D,2wc4A,2wc4B,2wc4C,2wc4D,4gxpA,4gxpB,4gxpC,5n6sA,5n6sB,5n6sC,5n6sD,5n6tA,5n6tB,5ossA,5ossB
FALSE	3.2	P58822	Polygalacturonase inhibitor 2 OS=Phaseolus vulgaris OX=3885 GN=PGIP2 PE=1 SV=1	1ogqA
FALSE	3.1	P48845	Dextranase OS=Talaromyces minioluteus OX=28574 GN=DEX PE=1 SV=1	1ogmX,1ogoX
FALSE	4.1	P58315	Fructose-bisphosphate aldolase class 1 OS=Thermoproteus tenax (strain ATCC 35583 / DSM 2078 / JCM 9277 / NBRC 100435 / Kra 1) OX=768679 GN=fba PE=1 SV=1	1ojxA,1ojxB,1ojxC,1ojxD,1ojxE,1ojxF,1ojxG,1ojxH,1ojxI,1ojxJ,1ok4A,1ok4B,1ok4C,1ok4D,1ok4E,1ok4F,1ok4G,1ok4H,1ok4I,1ok4J,1ok6A,1ok6B,1ok6C,1ok6D,1ok6E,1ok6F,1ok6G,1ok6H,1ok6I,1ok6J,1w8sA,1w8sB,1w8sC,1w8sD,1w8sE,1w8sF,1w8sG,1w8sH,1w8sI,1w8sJ,2yceA,2yceB,2yceC,2yceD,2yceE,2yceF,2yceG,2yceH,2yceI,2yceJ
FALSE	4.2	P0A917	Outer membrane protein X OS=Escherichia coli (strain K12) OX=83333 GN=ompX PE=1 SV=1	1ormA,1q9fA,1q9gA,1qj8A,1qj9A,2m06A,2m07A,2mnhA
FALSE	4.4,4.1	P22411	Dipeptidyl peptidase 4 OS=Sus scrofa OX=9823 GN=DPP4 PE=1 SV=3	1orvA,1orvB,1orvC,1orvD,1orwA,1orwB,1orwC,1orwD,2aj8A,2aj8B,2aj8C,2aj8D,2ajbA,2ajbB,2ajbC,2ajbD,2ajcA,2ajcB,2ajcC,2ajcD,2ajdA,2ajdB,2ajdC,2ajdD,2buaA,2buaB,2buaC,2buaD,2bucA,2bucB,2bucC,2bucD,5llsA,5llsB,5llsC,5llsD
FALSE	3.3	O25728	Putative beta-lactamase HcpC OS=Helicobacter pylori (strain ATCC 700392 / 26695) OX=85962 GN=hcpC PE=1 SV=1	1ouvA
FALSE	4.10	P93114	Jacalin-related lectin Calsepa OS=Calystegia sepium OX=47519 PE=1 SV=1	1ouwA,1ouwB,1ouwC,1ouwD,5av7A,5av7B,5av7C,5av7D,5xfiA,5xfiB
FALSE	3.3	P0ADK6	Protein YibA OS=Escherichia coli (strain K12) OX=83333 GN=yibA PE=1 SV=1	1oyzA
FALSE	3.2	Q9BZR6	Reticulon-4 receptor OS=Homo sapiens OX=9606 GN=RTN4R PE=1 SV=1	1oznA,1p8tA
FALSE	3.1,2.2	P31489	Adhesin YadA OS=Yersinia enterocolitica OX=630 GN=yadA PE=1 SV=1	1p9hA,3lt6A,3lt6B,3lt6C,3lt6D,3lt6E,3lt6F,3lt7A,3lt7B,3lt7C,3lt7D,3lt7E,3lt7F
FALSE	4.4	P14925	Peptidylglycine alpha-amidating monooxygenase OS=Rattus norvegicus OX=10116 GN=Pam PE=1 SV=1	1opmA,1phmA,1sdwA,1yi9A,1yipA,1yjkA,1yjlA,3fvzA,3fw0A,3mibA,3micA,3midA,3mieA,3mifA,3migA,3mihA,3mljA,3mlkA,3mllA,3phmA,4e4zA,5wjaA,5wjaD,5wkwA,5wm0A,6alaA,6alaC,6alvA,6ampA,6an3A,6ao6A,6ay0A,6nckA
FALSE	4.4,3.3	Q9Y297	F-box/WD repeat-containing protein 1A OS=Homo sapiens OX=9606 GN=BTRC PE=1 SV=1	1p22A,2p64A,2p64B,6m90A,6m91A,6m92A,6m93A,6m94A,6ttuT
FALSE	3.3	P07207	Neurogenic locus Notch protein OS=Drosophila melanogaster OX=7227 GN=N PE=1 SV=3	1ot8A,1ot8B,1ot8C
FALSE	3.2	O01479	Tropomodulin OS=Caenorhabditis elegans OX=6239 GN=unc-94 PE=1 SV=2	1pgvA
FALSE	4.4,4.4	P46680	Actin-interacting protein 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=AIP1 PE=1 SV=1	1pguA,1pguB,1pi6A
FALSE	3.1	P81294	Pectate lyase 1 OS=Juniperus ashei OX=13101 PE=1 SV=1	1pxzA,1pxzB
FALSE	3.3	P53620	Coatomer subunit gamma-1 OS=Bos taurus OX=9913 GN=COPG1 PE=1 SV=1	1pzdA,3tjzB,3tjzE
FALSE	5.5,5.4	P10721	Mast/stem cell growth factor receptor Kit OS=Homo sapiens OX=9606 GN=KIT PE=1 SV=1	1pkgA,1pkgB,1t45A,1t46A,2e9wA,2e9wB,2ec8A,2iuhB,2vifP,3g0eA,3g0fA,3g0fB,4hvsA,4k94C,4k9eC,4pgzA,4pgzB,4pgzC,4u0iA,6gqjA,6gqjB,6gqkA,6gqkB,6gqlA,6gqlB,6gqmA,6gqmB,6hh1A,6ittA,6ittB,6itvA,6klaA,6mobA,6xv9A,6xv9B,6xvaA,6xvaB,6xvbA,6xvbB
FALSE	2.2,4.4	Q8MQJ9	Brain tumor protein OS=Drosophila melanogaster OX=7227 GN=brat PE=1 SV=2	1q7fA,1q7fB,4zlrA,4zlrB,5ex7A,6j9rA,6j9rB
FALSE	3.1	Q00205	Pectin lyase B OS=Aspergillus niger OX=5061 GN=pelB PE=1 SV=1	1qcxA
FALSE	3.4	P03275	Fiber protein OS=Human adenovirus C serotype 2 OX=10515 GN=L5 PE=1 SV=1	1qhvA,1qiuA,1qiuB,1qiuC,1qiuD,1qiuE,1qiuF,1x9tB,2c9fS,2c9fT,2c9fU,2c9fV,2c9fW,4ar2P
FALSE	3.3	Q92973	Transportin-1 OS=Homo sapiens OX=9606 GN=TNPO1 PE=1 SV=2	1qbkB,2h4mA,2h4mB,2ot8A,2ot8B,2qmrA,2qmrB,2qmrC,2qmrD,2z5jA,2z5kA,2z5mA,2z5nA,2z5oA,4fddA,4fq3A,4jlqA,4oo6A,5j3vA,5j3vB,5tqcA,5yvgA,5yvgB,5yvhA,5yviA
FALSE	3.1	P0C1A8	Pectinesterase A OS=Dickeya chrysanthemi OX=556 GN=pemA PE=1 SV=1	1qjvA,1qjvB
FALSE	4.1	Q9X0C7	1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino] imidazole-4-carboxamide isomerase OS=Thermotoga maritima (strain ATCC 43589 / MSB8 / DSM 3109 / JCM 10099) OX=243274 GN=hisA PE=1 SV=1	1qo2A,1qo2B,2cffA,2cffB,2w79A,2w79B
FALSE	4.4	Q7SIA3	Oxidoreductase OS=Marinobacter hydrocarbonoclasticus OX=2743 PE=1 SV=1	1qniA,1qniB,1qniC,1qniD,1qniE,1qniF
FALSE	3.3	P32602	Alpha-soluble NSF attachment protein OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=SEC17 PE=1 SV=4	1qqeA
FALSE	3.1	P40881	Carbonic anhydrase OS=Methanosarcina thermophila OX=2210 PE=1 SV=1	1qq0A,1qreA,1qrfA,1qrgA,1qrlA,1qrmA,1thjA,1thjB,1thjC,3otmA,3otzA,3ou9A,3oupA,3ow5A
FALSE	3.3	P0AGC3	Soluble lytic murein transglycosylase OS=Escherichia coli (strain K12) OX=83333 GN=slt PE=1 SV=1	1qsaA,1qteA,1slyA
FALSE	5.2,5.2,3.3	P46531	Neurogenic locus notch homolog protein 1 OS=Homo sapiens OX=9606 GN=NOTCH1 PE=1 SV=4	1pb5A,1tozA,1yyhA,1yyhB,2f8xK,2f8yA,2f8yB,2he0A,2he0B,2vj3A,3etoA,3etoB,3i08A,3i08B,3i08C,3i08D,3l95X,3l95Y,3nbnB,3nbnE,3v79K,3v79R,4cudA,4cueA,4cufA,4d0eA,4d0fA,5fm9A,5fmaA,5fmaB,5kzoA,5l0rB,5ub5B,6idfE,6py8F,6py8K
FALSE	4.1	Q57703	Phosphosulfolactate synthase OS=Methanocaldococcus jannaschii (strain ATCC 43067 / DSM 2661 / JAL-1 / JCM 10045 / NBRC 100440) OX=243232 GN=comA PE=1 SV=1	1qwgA
FALSE	4.4	P38262	SIR4-interacting protein SIF2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=SIF2 PE=1 SV=2	1r5mA
FALSE	4.1	P42390	Indole-3-glycerol phosphate lyase, chloroplastic OS=Zea mays OX=4577 GN=BX1 PE=1 SV=2	1rd5A,1rd5B,1tjrA,1tjrB
FALSE	4.5	Q9S400	3-phosphoshikimate 1-carboxyvinyltransferase OS=Streptococcus pneumoniae serotype 4 (strain ATCC BAA-334 / TIGR4) OX=170187 GN=aroA PE=1 SV=2	1rf4A,1rf4B,1rf4C,1rf4D,1rf5A,1rf5B,1rf5C,1rf5D,1rf6A,1rf6B,1rf6C,1rf6D
FALSE	4.4	P52697	6-phosphogluconolactonase OS=Escherichia coli (strain K12) OX=83333 GN=pgl PE=1 SV=2	1ri6A
FALSE	5.5,5.4	P36888	Receptor-type tyrosine-protein kinase FLT3 OS=Homo sapiens OX=9606 GN=FLT3 PE=1 SV=2	1rjbA,3qs7E,3qs7F,3qs7G,3qs7H,3qs9E,3qs9F,3qs9G,3qs9H,4rt7A,4xufA,4xufB,5x02A,6il3A,6jqrA
FALSE	3.6	P15873	Proliferating cell nuclear antigen OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=POL30 PE=1 SV=1	1plqA,1plrA,1sxjF,1sxjG,1sxjH,2od8A,3f1wA,3gpmA,3gpnA,3l0wA,3l0wB,3l0xA,3l0xB,3l10A,3l10B,3pgeA,3pgeB,3v60B,3v61B,3v62B,3v62E,4l60A,4l6pA,4l6pB,4l6pC,4yhrA,5jneD,5jneH,5t9dA,5t9dB,5t9dC,5v7kA,5v7lA,5v7mA,5zutA,6cx2A,6cx3A,6cx4A,6d0qA,6d0rA,6e49A,6e49B,6e49C
FALSE	4.1	Q43843	Ribulose-phosphate 3-epimerase, chloroplastic (Fragment) OS=Solanum tuberosum OX=4113 PE=1 SV=1	1rpxA,1rpxB,1rpxC
FALSE	4.1,3.4	Q9RYA6	o-succinylbenzoate synthase OS=Deinococcus radiodurans (strain ATCC 13939 / DSM 20539 / JCM 16871 / LMG 4051 / NBRC 15346 / NCIMB 9279 / R1 / VKM B-1422) OX=243230 GN=menC PE=1 SV=1	1r0mA,1r0mB,1r0mC,1r0mD,1xpyA,1xpyB,1xpyC,1xpyD,1xs2A,1xs2B,1xs2C,1xs2D,2fkpA,2fkpB,2fkpC,2fkpD,2gggA,2gggB,2gggC,2gggD,2gghA,2gghB,2gghC,2gghD,2ggiA,2ggiB,2ggiC,2ggiD,2ggjA,2ggjB,2ggjC,2ggjD
FALSE	3.3	O75832	26S proteasome non-ATPase regulatory subunit 10 OS=Homo sapiens OX=9606 GN=PSMD10 PE=1 SV=1	1qymA,1tr4A,1uohA,4nikA,5vhfG,5vhhG,5vhiG,5vhjG,5vhmG,5vhnG,5vhoG,5vhpG,5vhqG,5vhrG
FALSE	3.1	Q00001	Rhamnogalacturonase A OS=Aspergillus aculeatus OX=5053 GN=rhgA PE=1 SV=1	1rmgA
FALSE	3.1	P0C1A7	Pectate lyase L OS=Dickeya dadantii (strain 3937) OX=198628 GN=pelL PE=1 SV=1	1ru4A
FALSE	3.1	P12255	Filamentous hemagglutinin OS=Bordetella pertussis (strain Tohama I / ATCC BAA-589 / NCTC 13251) OX=257313 GN=fhaB PE=1 SV=4	1rwrA
FALSE	3.6	O29912	DNA polymerase sliding clamp OS=Archaeoglobus fulgidus (strain ATCC 49558 / VC-16 / DSM 4304 / JCM 9628 / NBRC 100126) OX=224325 GN=pcn PE=1 SV=1	1rwzA,1rxmA,1rxzA,3p83A,3p83B,3p83C
FALSE	4.4	P9WI79	Serine/threonine-protein kinase PknD OS=Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv) OX=83332 GN=pknD PE=1 SV=1	1rwiA,1rwiB,1rwlA
FALSE	3.3	Q9UBQ5	Eukaryotic translation initiation factor 3 subunit K OS=Homo sapiens OX=9606 GN=EIF3K PE=1 SV=1	1rz4A,3j8bK,3j8cK,6fec6,6zonK,6zp4K
FALSE	4.4	Q8WVQ1	Soluble calcium-activated nucleotidase 1 OS=Homo sapiens OX=9606 GN=CANT1 PE=1 SV=1	1s18A,1s18B,1s1dA,1s1dB,2h2nA,2h2nB,2h2uA,2h2uB
FALSE	4.1	Q9WYH8	Phospho-2-dehydro-3-deoxyheptonate aldolase OS=Thermotoga maritima (strain ATCC 43589 / MSB8 / DSM 3109 / JCM 10099) OX=243274 GN=aroF PE=1 SV=1	1rzmA,1rzmB,1vr6A,1vr6B,1vr6C,1vr6D,3pg8A,3pg8B,3pg9A,3pg9B,3pg9C,3pg9D,3pg9E,3pg9F,3pg9G,3pg9H
FALSE	4.1	P42330	Aldo-keto reductase family 1 member C3 OS=Homo sapiens OX=9606 GN=AKR1C3 PE=1 SV=4	1ry0A,1ry0B,1ry8A,1ry8B,1s1pA,1s1rA,1s2aA,1s2cA,1xf0A,1zq5A,2f38A,2fgbA,3r43A,3r58A,3r6iA,3r7mA,3r8gA,3r8hA,3r94A,3ufyA,3ug8A,3ugrA,3uweA,4dbsA,4dbsB,4dbuA,4dbuB,4dbwA,4dbwB,4dz5A,4fa3A,4falA,4famA,4famB,4h7cA,4hmnA,4wdtA,4wduA,4wdwA,4wdwB,4wdxA,4wdxB,4wrhA,4xvdA,4xvdB,4xveA,4yvvA,4yvvB,4yvxA,4yvxB,4zfcA,4zfcB,5hntA,5hntC,5hnuA,5hnuC,5jm5A,5jm5B,6a7bA,6a7bB,6f2uA,6f2uB,6f78A,6f78B,6gxkA,6gxkB
FALSE	4.4	Q02793	Antiviral protein SKI8 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=SKI8 PE=1 SV=1	1s4uX,1sq9A,4bujC,4bujD,4bujG,4bujH,5mc6j,5mc6k
FALSE	3.3,3.3	Q90623	Protein phosphatase 1 regulatory subunit 12A OS=Gallus gallus OX=9031 GN=PPP1R12A PE=1 SV=1	1s70B
FALSE	3.3	P49792	E3 SUMO-protein ligase RanBP2 OS=Homo sapiens OX=9606 GN=RANBP2 PE=1 SV=2	1rrpB,1rrpD,1xkeA,1z5sD,2lasB,3uinD,3uioD,3uipD,4ga0A,4i9yA,4i9yB,4i9yC,4i9yD,4i9yE,4i9yF,4l6eA,4lqwA,4lqwB,5cllB,5cllD,5clqB,5clqD
FALSE	3.3,3.1	P43886	Serine acetyltransferase OS=Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd) OX=71421 GN=cysE PE=1 SV=1	1s80A,1s80B,1s80C,1s80D,1s80E,1s80F,1ssmA,1ssmB,1ssmC,1ssmD,1ssmE,1ssmF,1ssqA,1ssqD,1sstA,1sstB,1sstC,1y7lP
FALSE	4.1	Q6GII7	3-dehydroquinate dehydratase OS=Staphylococcus aureus (strain MRSA252) OX=282458 GN=aroD PE=1 SV=1	1sfjA,1sfjB,1sflA,1sflB
FALSE	4.1	Q44244	o-succinylbenzoate synthase OS=Amycolatopsis sp. OX=37632 GN=Aaar PE=1 SV=1	1sjaA,1sjaB,1sjaC,1sjaD,1sjbA,1sjbB,1sjbC,1sjbD,1sjcA,1sjcB,1sjcC,1sjcD,1sjdA,1sjdB,1sjdC,1sjdD,4a6gA,4a6gB,4a6gC,4a6gD,5fjoA,5fjoB,5fjpA,5fjpB,5fjpC,5fjpD,5fjrA,5fjrB,5fjrC,5fjrD,5fjtA,5fjtB,5fjtC,5fjtD,5fjuA,5fjuB,5fjuC,5fjuD
TRUE	2.2	P63043	Stathmin-4 OS=Rattus norvegicus OX=10116 GN=Stmn4 PE=1 SV=1	1sa0E,1sa1E,1z2bE,3du7E,3e22E,3hkbE,3hkcE,3hkdE,3hkeE,3n2gE,3n2kE,3rycE,3ryfE,3ryhE,3ryiE,3ut5E,4eb6E,4i4tE,4i50E,4i55E,4ihjE,4iijE,4o2aE,4o2bE,4o4hE,4o4iE,4o4jE,4o4lE,4tuyE,4tv8E,4tv9E,4x1iE,4x1kE,4x1yE,4x20E,4yj2E,4yj3E,4zhqE,4zi7E,4zolE,5bmvE,5c8yE,5ca0E,5ca1E,5cb4E,5ezyE,5fnvE,5gonE,5h74E,5h7oE,5iyzE,5j2tE,5j2uE,5jh7E,5jqgE,5jvdE,5kx5E,5la6E,5lovE,5lp6E,5lxsE,5lxtE,5lyjE,5m7eE,5m7gE,5m8dE,5m8gE,5mf4E,5nfzE,5ng1E,5njhE,5o7aE,5oskE,5ov7E,5xafE,5xagE,5xhcE,5xi5E,5xi7E,5xiwE,5xkeE,5xkfE,5xkgE,5xkhE,5xltE,5xlzE,5xp3E,5yl2E,5yl4E,5yljE,5ylsE,5yz3E,5z4pE,5z4uE,5zxhE,6agkE,6bs2E,6d88E,6eg5E,6f7cE,6fiiE,6fjfE,6fjmE,6fkjE,6fklE,6gf3E,6gj4E,6gzeE,6h9bE,6hx8E,6i5cE,6jcjE,6k9vE,6knzE,6n47E,6qqnE,6qtnE,6s9eE,6sesE,6y6dE
FALSE	4.2	P0A431	Photosystem II manganese-stabilizing polypeptide OS=Thermosynechococcus elongatus (strain BP-1) OX=197221 GN=psbO PE=1 SV=1	1s5lO,1s5lo,2axtO,2axto,3kziO,4fbyO,4fbyf,4ixqO,4ixqo,4ixrO,4ixro,4pbuO,4pbuo,4pj0O,4pj0o,4rvyO,4rvyo,4tnhO,4tnho,4tniO,4tnio,4tnjO,4tnjo,4tnkO,4tnko,4v62AO,4v62BO,4v82AO,4v82BO,5e79O,5e79o,5e7cO,5e7co,5h2fO,5h2fo,5kafO,5kafo,5kaiO,5kaio,5mx2O,5mx2o,5tisO,5tiso,5zznO,5zzno,6dheO,6dheo,6dhfO,6dhfo,6dhgO,6dhgo,6dhhO,6dhho,6dhoO,6dhoo,6dhpO,6dhpo,6w1oO,6w1oo,6w1pO,6w1po,6w1qO,6w1qo,6w1rO,6w1ro,6w1tO,6w1to,6w1uO,6w1uo,6w1vO,6w1vo
FALSE	3.4	Q48152	Adhesin OS=Haemophilus influenzae OX=727 GN=hia PE=1 SV=2	1s7mA,1s7mB,1s7mC,1s7mD,1s7mE,1s7mF,2gr7A,2gr7B,2gr7C,2gr7D,2gr7E,2gr7F,2gr8A,2gr8B,2gr8C,2gr8D,2gr8E,2gr8F,3emfA,3emfB,3emfC,3emiA,3emoA,3emoB,3emoC
FALSE	4.9	O06522	Cytolethal distending toxin subunit A OS=Haemophilus ducreyi (strain 35000HP / ATCC 700724) OX=233412 GN=cdtA PE=1 SV=1	1sr4A
FALSE	4.4	Q93X60	Fructan 1-exohydrolase IIa OS=Cichorium intybus OX=13427 GN=1-feh IIa PE=1 SV=1	1st8A,2addA,2adeA,2aeyA,2aezA
FALSE	3.3	P09959	Regulatory protein SWI6 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=SWI6 PE=1 SV=1	1sw6A,1sw6B,2xfvA,2xfvB,5xw5C
FALSE	4.4	Q8J0D2	Oligoxyloglucan reducing end-specific cellobiohydrolase OS=Geotrichum sp. (strain M128) OX=203496 PE=1 SV=1	1sqjA,1sqjB,2ebsA,2ebsB
FALSE	3.3,3.4	P39081	Protein PCF11 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=PCF11 PE=1 SV=2	1sz9A,1sz9B,1sz9C,1szaA,1szaB,1szaC,2bf0X,2naxA,2npiC,2npiD,4c0bC,4c0bD,4c0hC,4c0hD,4oi4B,4oi4D,4oi4U,5m9zA
FALSE	3.1	P0A9D4	Serine acetyltransferase OS=Escherichia coli (strain K12) OX=83333 GN=cysE PE=1 SV=1	1t3dA,1t3dB,1t3dC
FALSE	4.1	P00940	Triosephosphate isomerase OS=Gallus gallus OX=9031 GN=TPI1 PE=1 SV=2	1spqA,1spqB,1sq7A,1sq7B,1ssdA,1ssdB,1ssgA,1ssgB,1su5A,1su5B,1sw0A,1sw0B,1sw3A,1sw3B,1sw7A,1sw7B,1timA,1timB,1tpb1,1tpb2,1tpc1,1tpc2,1tph1,1tph2,1tpuA,1tpuB,1tpvA,1tpvB,1tpwA,1tpwB,4p61A,4p61B,8timA,8timB
FALSE	3.3	P55196	Afadin OS=Homo sapiens OX=9606 GN=AFDN PE=1 SV=3	1t2mA,1xz9A,2ainA,2exgA,5a6cA,5a6cB
FALSE	5.4	Q05546	Tenascin-R OS=Rattus norvegicus OX=10116 GN=Tnr PE=1 SV=1	1tdqA
FALSE	4.4	Q9Y3R4	Sialidase-2 OS=Homo sapiens OX=9606 GN=NEU2 PE=1 SV=2	1sntA,1so7A,1vcuA,1vcuB,2f0zA,2f10A,2f11A,2f12A,2f13A,2f24A,2f25A,2f25B,2f26A,2f27A,2f27B,2f28A,2f29A,2f29B,4nc5A,4ncsA
FALSE	4.9	P09943	Trypsin inhibitor DE-3 OS=Erythrina caffra OX=3842 PE=1 SV=1	1tieA
FALSE	4.4	Q27084	Tachylectin-2 OS=Tachypleus tridentatus OX=6853 PE=1 SV=1	1tl2A,3kifA,3kifB,3kifC,3kifD,3kifE,3kifF,3kifG,3kifH,3kifI,3kifJ,3kihA,3kihB,3kihC,3kihD,3kihE
FALSE	4.1	Q56312	Chemotaxis protein CheY OS=Thermotoga maritima (strain ATCC 43589 / MSB8 / DSM 3109 / JCM 10099) OX=243274 GN=cheY PE=1 SV=1	1tmyA,1u0sY,2tmyA,3tmyA,3tmyB,4igaA,4qywA,4tmyA,4tmyB,6c40B,6c40D
FALSE	4.1	P74061	Ribulose-phosphate 3-epimerase OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=rpe PE=1 SV=3	1tqjA,1tqjB,1tqjC,1tqjD,1tqjE,1tqjF
FALSE	4.1	Q8I5L3	Ribulose-phosphate 3-epimerase OS=Plasmodium falciparum (isolate 3D7) OX=36329 GN=PF3D7_1219900 PE=1 SV=1	1tqxA,1tqxB
FALSE	4.2	P15090	Fatty acid-binding protein, adipocyte OS=Homo sapiens OX=9606 GN=FABP4 PE=1 SV=3	1touA,1towA,2hnxA,2nnqA,3fr2A,3fr4A,3fr5A,3p6cA,3p6dA,3p6eA,3p6fA,3p6gA,3p6hA,3q6lA,3rzyA,4nnsA,4nntA,5d45A,5d47A,5d48A,5d4aA,5edbA,5edcA,5hz6A,5hz8A,5y0fA,5y0gA,5y0xA,5y12A,5y13A,6aylA,6ljsA,6ljtA,6ljuA,6ljvA,6ljwA,6ljxA
FALSE	4.1	P67825	Copper homeostasis protein CutC OS=Shigella flexneri OX=623 GN=cutC PE=1 SV=1	1twdA,1twdB,1x7iA,1x7iB,1x8cA,1x8cB
FALSE	3.3	P13674	Prolyl 4-hydroxylase subunit alpha-1 OS=Homo sapiens OX=9606 GN=P4HA1 PE=1 SV=2	1tjcA,1tjcB,2v5fA,2yq8A,2yq8B,4bt8A,4bt8B,4bt9A,4bt9B,4btaA,4btaB,4btbA
FALSE	4.1	O31618	Thiazole synthase OS=Bacillus subtilis (strain 168) OX=224308 GN=thiG PE=1 SV=1	1tygA,1tygC,1xm3A,1xm3B,1xm3C,1xm3D
FALSE	4.1,4.5	Q89FH0	D(-)-tartrate dehydratase OS=Bradyrhizobium diazoefficiens (strain JCM 10833 / BCRC 13528 / IAM 13628 / NBRC 14792 / USDA 110) OX=224911 GN=tarD PE=1 SV=1	1tzzA,1tzzB,2dw6A,2dw6B,2dw6C,2dw6D,2dw7A,2dw7B,2dw7C,2dw7D,2dw7E,2dw7F,2dw7G,2dw7H,2dw7I,2dw7J,2dw7K,2dw7L,2dw7M,2dw7N,2dw7O,2dw7P
